state_country,activities,budget,destinationType,duration
"Dubai, UAE","[""Desert Safari"", ""Water Parks""]",Low,"[""Nature"", ""Photography""]",2-3 days
"Paris, France","[""Historical Tours"", ""Museums"", ""Food Tours""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Hawaii, USA","[""Surfing"", ""Snorkeling"", ""Volcano Tours"", ""Beach"", ""Shopping""]",Medium,"[""Cultural"", ""Adventure""]",6-8 days
"Tuscany, Italy","[""Historical Tours"", ""Art Museums"", ""Food Tours"", ""Wine Tasting""]",Medium,"[""Adventure"", ""Sports""]",10-14 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours""]",Medium,"[""Urban"", ""Modern""]",10-14 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Beer Tours""]",Low,"[""Cultural"", ""Adventure""]",6-8 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours"", ""Kayaking""]",Medium,"[""Cultural"", ""Adventure""]",4-6 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari"", ""Shopping"", ""Architecture Tours""]",Low,"[""Cultural"", ""Historical""]",2-3 days
"New York, USA","[""Shopping"", ""Museums"", ""Theater""]",High,"[""Cultural"", ""Food""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Hiking"", ""Skiing""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"Paris, France","[""Food Tours"", ""Museums"", ""Historical Tours"", ""Shopping"", ""Snorkeling""]",High,"[""Nature"", ""Relaxation""]",10-14 days
"Swiss Alps, Switzerland","[""Hiking"", ""Skiing""]",High,"[""Nature"", ""Photography""]",2-3 days
"Bangkok, Thailand","[""Food Tours"", ""Shopping"", ""Temple Visits""]",Low,"[""Urban"", ""Shopping""]",4-6 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography"", ""Camping"", ""Hiking"", ""Skiing""]",Low,"[""Nature"", ""Relaxation""]",10-14 days
"Hawaii, USA","[""Volcano Tours"", ""Snorkeling"", ""Surfing""]",Low,"[""Cultural"", ""Historical""]",2-3 days
"Bali, Indonesia","[""Temple Visits"", ""Surfing"", ""Beach"", ""Cultural Tours"", ""Theater""]",Low,"[""Nature"", ""Photography""]",2-3 days
"Wyoming, USA","[""Hiking"", ""Wildlife Safari"", ""Photography"", ""Camping"", ""Cultural Shows""]",Low,"[""Cultural"", ""Historical""]",4-6 days
"Dubai, UAE","[""Architecture Tours"", ""Water Parks""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"Dubai, UAE","[""Shopping"", ""Desert Safari"", ""Architecture Tours""]",High,"[""Nature"", ""Relaxation""]",8-10 days
"Tokyo, Japan","[""Temple Visits"", ""Shopping""]",High,"[""Historical"", ""Educational""]",8-10 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Beach"", ""Wine Tasting""]",Medium,"[""Historical"", ""Educational""]",10-14 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours"", ""Food Tours"", ""Art Museums""]",High,"[""Cultural"", ""Food""]",10-14 days
"Colorado, USA","[""Hiking"", ""Mountain Biking""]",High,"[""Urban"", ""Modern""]",6-8 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Temple Visits"", ""Cultural Tours""]",Low,"[""Cultural"", ""Food""]",8-10 days
"Hawaii, USA","[""Volcano Tours"", ""Beach""]",High,"[""Historical"", ""Educational""]",8-10 days
"New York, USA","[""Shopping"", ""Theater"", ""Museums"", ""Food Tours"", ""Mountain Biking""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"New York, USA","[""Museums"", ""Shopping""]",High,"[""Adventure"", ""Nature""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Beach"", ""Hiking"", ""Camping""]",Medium,"[""Historical"", ""Educational""]",10-14 days
"Dubai, UAE","[""Architecture Tours"", ""Desert Safari""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Temple Visits"", ""Cultural Tours""]",Low,"[""Adventure"", ""Beach""]",8-10 days
"Hawaii, USA","[""Beach"", ""Volcano Tours""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"British Columbia, Canada","[""Hiking"", ""Wildlife Tours""]",Medium,"[""Adventure"", ""Beach""]",2-3 days
"Hawaii, USA","[""Surfing"", ""Beach"", ""Snorkeling""]",Medium,"[""Cultural"", ""Historical""]",8-10 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours"", ""Skiing""]",High,"[""Nature"", ""Photography""]",6-8 days
"California, USA","[""Theme Parks"", ""Beach""]",High,"[""Cultural"", ""Adventure""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Architecture Tours"", ""Water Parks""]",High,"[""Adventure"", ""Sports""]",2-3 days
"Colorado, USA","[""Rock Climbing"", ""Hiking"", ""Skiing"", ""Mountain Biking""]",Low,"[""Historical"", ""Educational""]",2-3 days
"Queensland, Australia","[""Hiking"", ""Beach"", ""Wildlife Tours"", ""Snorkeling""]",Medium,"[""Adventure"", ""Beach""]",10-14 days
"Dubai, UAE","[""Architecture Tours"", ""Water Parks""]",Low,"[""Historical"", ""Educational""]",6-8 days
"California, USA","[""Surfing"", ""Theme Parks""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Hawaii, USA","[""Volcano Tours"", ""Surfing"", ""Snorkeling""]",Medium,"[""Nature"", ""Photography""]",4-6 days
"Tokyo, Japan","[""Temple Visits"", ""Food Tours"", ""Cultural Shows"", ""Shopping"", ""Wildlife Tours""]",Medium,"[""Beach"", ""Relaxation""]",4-6 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows""]",Low,"[""Cultural"", ""Adventure""]",10-14 days
"Swiss Alps, Switzerland","[""Photography"", ""Mountain Tours"", ""Skiing"", ""Hiking""]",Medium,"[""Adventure"", ""Beach""]",8-10 days
"Tokyo, Japan","[""Cultural Shows"", ""Temple Visits"", ""Shopping"", ""Food Tours""]",Low,"[""Adventure"", ""Beach""]",4-6 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Skiing"", ""Hiking"", ""Photography"", ""Theme Parks""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Beach"", ""Hiking""]",Low,"[""Historical"", ""Educational""]",2-3 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography"", ""Hiking"", ""Camping"", ""Cooking Classes""]",Medium,"[""Adventure"", ""Sports""]",2-3 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Hiking""]",High,"[""Beach"", ""Relaxation""]",4-6 days
"Bavaria, Germany","[""Beer Tours"", ""Historical Tours"", ""Castle Tours"", ""Hiking""]",Medium,"[""Adventure"", ""Beach""]",6-8 days
"Bangkok, Thailand","[""Food Tours"", ""Cultural Shows"", ""Shopping"", ""Temple Visits"", ""Beach""]",Low,"[""Historical"", ""Educational""]",4-6 days
"Tokyo, Japan","[""Shopping"", ""Temple Visits"", ""Food Tours"", ""Cultural Shows"", ""Snorkeling""]",High,"[""Urban"", ""Shopping""]",2-3 days
"California, USA","[""Beach"", ""Surfing""]",Medium,"[""Adventure"", ""Nature""]",2-3 days
"Colorado, USA","[""Mountain Biking"", ""Skiing"", ""Rock Climbing"", ""Hiking""]",High,"[""Adventure"", ""Beach""]",2-3 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours""]",High,"[""Urban"", ""Modern""]",6-8 days
"Colorado, USA","[""Skiing"", ""Rock Climbing""]",Medium,"[""Beach"", ""Relaxation""]",10-14 days
"Colorado, USA","[""Rock Climbing"", ""Hiking"", ""Skiing"", ""Mountain Biking"", ""Wildlife Safari""]",Medium,"[""Cultural"", ""Historical""]",6-8 days
"Dubai, UAE","[""Water Parks"", ""Shopping""]",High,"[""Adventure"", ""Sports""]",4-6 days
"Tuscany, Italy","[""Art Museums"", ""Food Tours"", ""Historical Tours""]",High,"[""Historical"", ""Educational""]",10-14 days
"Queensland, Australia","[""Hiking"", ""Beach"", ""Wildlife Tours""]",Medium,"[""Adventure"", ""Beach""]",4-6 days
"Dubai, UAE","[""Water Parks"", ""Shopping"", ""Architecture Tours""]",Low,"[""Cultural"", ""Food""]",6-8 days
"California, USA","[""Theme Parks"", ""Wine Tasting""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking""]",Low,"[""Historical"", ""Educational""]",6-8 days
"Queensland, Australia","[""Snorkeling"", ""Beach"", ""Hiking"", ""Wildlife Tours"", ""Wildlife Safari""]",Low,"[""Nature"", ""Photography""]",6-8 days
"California, USA","[""Beach"", ""Surfing""]",High,"[""Adventure"", ""Nature""]",4-6 days
"California, USA","[""Surfing"", ""Beach"", ""Theme Parks"", ""Wine Tasting""]",Medium,"[""Urban"", ""Shopping""]",6-8 days
"British Columbia, Canada","[""Kayaking"", ""Hiking"", ""Skiing""]",Low,"[""Nature"", ""Relaxation""]",6-8 days
"Bavaria, Germany","[""Hiking"", ""Castle Tours"", ""Historical Tours"", ""Beer Tours"", ""Camping""]",Low,"[""Cultural"", ""Historical""]",2-3 days
"New York, USA","[""Food Tours"", ""Shopping""]",High,"[""Adventure"", ""Beach""]",6-8 days
"Paris, France","[""Museums"", ""Food Tours"", ""Shopping"", ""Historical Tours""]",Medium,"[""Urban"", ""Modern""]",6-8 days
"Tokyo, Japan","[""Food Tours"", ""Shopping"", ""Temple Visits"", ""Cultural Shows""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Dubai, UAE","[""Shopping"", ""Desert Safari"", ""Water Parks""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"Hawaii, USA","[""Beach"", ""Surfing"", ""Volcano Tours"", ""Snorkeling""]",Low,"[""Cultural"", ""Food""]",10-14 days
"Hawaii, USA","[""Surfing"", ""Volcano Tours"", ""Beach"", ""Snorkeling""]",Low,"[""Urban"", ""Modern""]",4-6 days
"Tuscany, Italy","[""Historical Tours"", ""Wine Tasting"", ""Food Tours""]",Low,"[""Urban"", ""Modern""]",2-3 days
"California, USA","[""Beach"", ""Surfing"", ""Wine Tasting"", ""Theme Parks"", ""River Rafting""]",Low,"[""Cultural"", ""Food""]",10-14 days
"Queensland, Australia","[""Snorkeling"", ""Wildlife Tours"", ""Beach"", ""Hiking""]",Low,"[""Adventure"", ""Beach""]",8-10 days
"Tokyo, Japan","[""Temple Visits"", ""Food Tours"", ""Shopping"", ""Cultural Shows""]",Medium,"[""Nature"", ""Photography""]",8-10 days
"Paris, France","[""Shopping"", ""Historical Tours"", ""Museums""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Surfing""]",High,"[""Historical"", ""Educational""]",8-10 days
"Colorado, USA","[""Hiking"", ""Mountain Biking"", ""Rock Climbing"", ""Skiing""]",Medium,"[""Adventure"", ""Beach""]",4-6 days
"Colorado, USA","[""Hiking"", ""Mountain Biking"", ""Skiing"", ""Rock Climbing"", ""Yoga Retreats""]",Medium,"[""Adventure"", ""Nature""]",4-6 days
"Hawaii, USA","[""Volcano Tours"", ""Beach"", ""Snorkeling"", ""Surfing""]",High,"[""Nature"", ""Photography""]",8-10 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Tuscany, Italy","[""Historical Tours"", ""Food Tours"", ""Wine Tasting""]",Medium,"[""Adventure"", ""Nature""]",6-8 days
"California, USA","[""Beach"", ""Surfing"", ""Wine Tasting"", ""Theme Parks"", ""Castle Tours""]",Low,"[""Cultural"", ""Adventure""]",2-3 days
"Hawaii, USA","[""Volcano Tours"", ""Snorkeling"", ""Surfing""]",High,"[""Adventure"", ""Beach""]",2-3 days
"Tuscany, Italy","[""Food Tours"", ""Wine Tasting"", ""Art Museums""]",High,"[""Cultural"", ""Historical""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Hiking""]",Low,"[""Adventure"", ""Sports""]",2-3 days
"Colorado, USA","[""Skiing"", ""Hiking"", ""Mountain Biking"", ""Rock Climbing""]",Low,"[""Nature"", ""Relaxation""]",2-3 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours"", ""Food Tours""]",High,"[""Adventure"", ""Beach""]",10-14 days
"Tuscany, Italy","[""Art Museums"", ""Wine Tasting""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours"", ""Kayaking"", ""Hiking""]",Medium,"[""Nature"", ""Relaxation""]",8-10 days
"Paris, France","[""Museums"", ""Historical Tours"", ""Food Tours"", ""Shopping"", ""Zip Lining""]",Medium,"[""Cultural"", ""Adventure""]",8-10 days
"Bavaria, Germany","[""Castle Tours"", ""Historical Tours"", ""Hiking""]",High,"[""Urban"", ""Shopping""]",10-14 days
"Wyoming, USA","[""Camping"", ""Hiking"", ""Wildlife Safari""]",High,"[""Urban"", ""Shopping""]",2-3 days
"Bavaria, Germany","[""Castle Tours"", ""Historical Tours"", ""Hiking"", ""Beer Tours""]",Low,"[""Urban"", ""Shopping""]",8-10 days
"Bangkok, Thailand","[""Temple Visits"", ""Cultural Shows"", ""Shopping""]",High,"[""Adventure"", ""Beach""]",10-14 days
"Wyoming, USA","[""Photography"", ""Camping"", ""Wildlife Safari"", ""Hiking"", ""Surfing""]",Medium,"[""Urban"", ""Shopping""]",4-6 days
"Tokyo, Japan","[""Cultural Shows"", ""Temple Visits""]",Low,"[""Cultural"", ""Historical""]",6-8 days
"Tuscany, Italy","[""Food Tours"", ""Art Museums"", ""Wine Tasting"", ""Historical Tours""]",High,"[""Cultural"", ""Food""]",6-8 days
"Bali, Indonesia","[""Surfing"", ""Temple Visits""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"Hawaii, USA","[""Volcano Tours"", ""Beach"", ""Snorkeling"", ""Surfing""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Hiking""]",High,"[""Adventure"", ""Sports""]",8-10 days
"Bangkok, Thailand","[""Cultural Shows"", ""Shopping"", ""Temple Visits"", ""Food Tours"", ""Desert Safari""]",Low,"[""Cultural"", ""Historical""]",6-8 days
"Bangkok, Thailand","[""Food Tours"", ""Shopping"", ""Temple Visits"", ""Cultural Shows""]",High,"[""Historical"", ""Educational""]",6-8 days
"New York, USA","[""Theater"", ""Food Tours"", ""Museums""]",Low,"[""Cultural"", ""Adventure""]",6-8 days
"Bali, Indonesia","[""Cultural Tours"", ""Temple Visits""]",High,"[""Cultural"", ""Food""]",8-10 days
"Hawaii, USA","[""Beach"", ""Volcano Tours""]",High,"[""Cultural"", ""Food""]",10-14 days
"Swiss Alps, Switzerland","[""Photography"", ""Hiking""]",Low,"[""Urban"", ""Modern""]",2-3 days
"Colorado, USA","[""Mountain Biking"", ""Hiking"", ""Skiing"", ""Rock Climbing""]",High,"[""Urban"", ""Shopping""]",4-6 days
"Colorado, USA","[""Hiking"", ""Skiing"", ""Mountain Biking"", ""Rock Climbing"", ""Art Museums""]",Low,"[""Nature"", ""Relaxation""]",2-3 days
"Queensland, Australia","[""Snorkeling"", ""Beach"", ""Hiking""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours""]",High,"[""Beach"", ""Relaxation""]",2-3 days
"Tuscany, Italy","[""Food Tours"", ""Art Museums""]",High,"[""Adventure"", ""Sports""]",4-6 days
"Dubai, UAE","[""Architecture Tours"", ""Water Parks"", ""Desert Safari""]",Medium,"[""Urban"", ""Modern""]",2-3 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Hiking"", ""Beer Tours"", ""Volcano Tours""]",Medium,"[""Urban"", ""Shopping""]",4-6 days
"Tokyo, Japan","[""Temple Visits"", ""Shopping"", ""Food Tours"", ""Cultural Shows""]",Low,"[""Cultural"", ""Historical""]",6-8 days
"Swiss Alps, Switzerland","[""Hiking"", ""Photography"", ""Mountain Tours"", ""Skiing""]",Low,"[""Cultural"", ""Adventure""]",2-3 days
"Bangkok, Thailand","[""Food Tours"", ""Cultural Shows""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"British Columbia, Canada","[""Skiing"", ""Hiking"", ""Kayaking""]",Low,"[""Beach"", ""Relaxation""]",6-8 days
"Bali, Indonesia","[""Temple Visits"", ""Surfing"", ""Beach"", ""Cultural Tours""]",Medium,"[""Adventure"", ""Beach""]",4-6 days
"Bavaria, Germany","[""Castle Tours"", ""Hiking"", ""Beer Tours"", ""Historical Tours""]",Low,"[""Nature"", ""Relaxation""]",6-8 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Beach""]",High,"[""Urban"", ""Modern""]",6-8 days
"Tokyo, Japan","[""Temple Visits"", ""Food Tours"", ""Cultural Shows""]",High,"[""Cultural"", ""Historical""]",8-10 days
"California, USA","[""Surfing"", ""Wine Tasting""]",Low,"[""Urban"", ""Shopping""]",10-14 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Beer Tours"", ""Hiking"", ""Scuba Diving""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"Paris, France","[""Museums"", ""Shopping""]",Medium,"[""Urban"", ""Modern""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Beach"", ""Snorkeling"", ""Temple Visits""]",Medium,"[""Urban"", ""Modern""]",6-8 days
"Bavaria, Germany","[""Castle Tours"", ""Hiking""]",Low,"[""Adventure"", ""Beach""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Beach"", ""Snorkeling"", ""Surfing"", ""Mountain Biking""]",Low,"[""Adventure"", ""Beach""]",6-8 days
"Bali, Indonesia","[""Beach"", ""Temple Visits"", ""Cultural Tours"", ""Surfing"", ""Hiking""]",High,"[""Urban"", ""Modern""]",6-8 days
"Tokyo, Japan","[""Shopping"", ""Food Tours""]",Low,"[""Adventure"", ""Beach""]",2-3 days
"Paris, France","[""Museums"", ""Shopping""]",Medium,"[""Cultural"", ""Historical""]",10-14 days
"Wyoming, USA","[""Hiking"", ""Camping""]",Low,"[""Historical"", ""Educational""]",8-10 days
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours"", ""Surfing"", ""Beach"", ""Photography""]",Low,"[""Beach"", ""Relaxation""]",10-14 days
"Bangkok, Thailand","[""Shopping"", ""Temple Visits"", ""Cultural Shows""]",Medium,"[""Nature"", ""Relaxation""]",4-6 days
"Hawaii, USA","[""Surfing"", ""Beach""]",High,"[""Cultural"", ""Adventure""]",10-14 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"Swiss Alps, Switzerland","[""Photography"", ""Mountain Tours"", ""Skiing"", ""Hiking""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"New York, USA","[""Food Tours"", ""Shopping"", ""Theater"", ""Museums""]",Medium,"[""Adventure"", ""Nature""]",4-6 days
"Queensland, Australia","[""Hiking"", ""Wildlife Tours"", ""Snorkeling"", ""Beach""]",Low,"[""Urban"", ""Shopping""]",8-10 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours"", ""Hiking"", ""Kayaking""]",Low,"[""Historical"", ""Educational""]",4-6 days
"Tuscany, Italy","[""Historical Tours"", ""Food Tours"", ""Wine Tasting"", ""Art Museums"", ""Rock Climbing""]",Medium,"[""Adventure"", ""Sports""]",8-10 days
"Tuscany, Italy","[""Wine Tasting"", ""Food Tours""]",Low,"[""Nature"", ""Relaxation""]",8-10 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Hiking"", ""Skiing""]",Medium,"[""Nature"", ""Relaxation""]",4-6 days
"Queensland, Australia","[""Wildlife Tours"", ""Beach""]",Medium,"[""Urban"", ""Modern""]",4-6 days
"Hawaii, USA","[""Snorkeling"", ""Beach""]",Low,"[""Urban"", ""Modern""]",8-10 days
"Colorado, USA","[""Skiing"", ""Hiking""]",Medium,"[""Cultural"", ""Food""]",2-3 days
"Bali, Indonesia","[""Surfing"", ""Temple Visits"", ""Beach""]",Medium,"[""Adventure"", ""Nature""]",4-6 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours"", ""Beer Tours"", ""Hiking"", ""Theater""]",Low,"[""Adventure"", ""Beach""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Hiking""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"Tokyo, Japan","[""Shopping"", ""Food Tours"", ""Temple Visits""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Bangkok, Thailand","[""Temple Visits"", ""Cultural Shows"", ""Food Tours"", ""Shopping"", ""Museums""]",Medium,"[""Historical"", ""Educational""]",4-6 days
"Colorado, USA","[""Hiking"", ""Rock Climbing"", ""Skiing"", ""Mountain Biking"", ""Architecture Tours""]",High,"[""Nature"", ""Relaxation""]",4-6 days
"Paris, France","[""Museums"", ""Historical Tours"", ""Food Tours"", ""Shopping"", ""Nightlife""]",Medium,"[""Cultural"", ""Historical""]",6-8 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari"", ""Architecture Tours"", ""Shopping""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"Wyoming, USA","[""Wildlife Safari"", ""Hiking"", ""Camping"", ""Photography"", ""Surfing""]",Low,"[""Urban"", ""Shopping""]",4-6 days
